alias,brand,model_key,model_display
aj1,Nike,jordan1,Jordan 1
조던3,Nike,jordan3,Jordan 3
에어조던3,Nike,jordan3,Jordan 3
air jordan 3,Nike,jordan3,Jordan 3
jordan 3,Nike,jordan3,Jordan 3
aj3,Nike,jordan3,Jordan 3
조던4,Nike,jordan4,Jordan 4
에어조던4,Nike,jordan4,Jordan 4
air jordan 4,Nike,jordan4,Jordan 4
jordan 4,Nike,jordan4,Jordan 4
aj4,Nike,jordan4,Jordan 4
페가수스,Nike,pegasus,Pegasus
pegasus,Nike,pegasus,Pegasus
v2k,Nike,v2krun,V2K Run
브이투케이,Nike,v2krun,V2K Run
보메로,Nike,vomero,Vomero
vomero,Nike,vomero,Vomero
# --- Adidas ---
가젤,Adidas,gazelle,Gazelle
gazelle,Adidas,gazelle,Gazelle
삼바,Adidas,sambaog,Samba
samba,Adidas,sambaog,Samba
스페지알,Adidas,spezial,Handball Spezial
스페치알,Adidas,spezial,Handball Spezial
핸드볼 스페지알,Adidas,spezial,Handball Spezial
spezial,Adidas,spezial,Handball Spezial
스탠스미스,Adidas,stansmith,Stan Smith
stan smith,Adidas,stansmith,Stan Smith
슈퍼스타,Adidas,superstar,Superstar
superstar,Adidas,superstar,Superstar
# --- New Balance (숫자 모델은 브랜드/라인 표기가 붙은 형태만) ---
뉴발란스 1906,New Balance,nb1906,1906
뉴발 1906,New Balance,nb1906,1906
nb 1906,New Balance,nb1906,1906
new balance 1906,New Balance,nb1906,1906
1906r,New Balance,nb1906,1906
1906a,New Balance,nb1906,1906
뉴발란스 2002,New Balance,nb2002r,2002R
뉴발 2002,New Balance,nb2002r,2002R
nb 2002,New Balance,nb2002r,2002R
new balance 2002,New Balance,nb2002r,2002R
2002r,New Balance,nb2002r,2002R
뉴발란스 327,New Balance,nb327,327
뉴발 327,New Balance,nb327,327
nb 327,New Balance,nb327,327
new balance 327,New Balance,nb327,327
뉴발란스 530,New Balance,nb530,530
뉴발 530,New Balance,nb530,530
nb 530,New Balance,nb530,530
new balance 530,New Balance,nb530,530
뉴발란스 550,New Balance,nb550,550
뉴발 550,New Balance,nb550,550
nb 550,New Balance,nb550,550
new balance 550,New Balance,nb550,550
뉴발란스 574,New Balance,nb574,574
뉴발 574,New Balance,nb574,574
nb 574,New Balance,nb574,574
new balance 574,New Balance,nb574,574
뉴발란스 990,New Balance,nb990,990
뉴발 990,New Balance,nb990,990
nb 990,New Balance,nb990,990
new balance 990,New Balance,nb990,990
990v4,New Balance,nb990,990
990v5,New Balance,nb990,990
990v6,New Balance,nb990,990
뉴발란스 993,New Balance,nb993,993
뉴발 993,New Balance,nb993,993
nb 993,New Balance,nb993,993
new balance 993,New Balance,nb993,993
# --- Asics ---
젤카야노14,Asics,gelkayano14,Gel-Kayano 14
젤 카야노 14,Asics,gelkayano14,Gel-Kayano 14
카야노14,Asics,gelkayano14,Gel-Kayano 14
gel kayano 14,Asics,gelkayano14,Gel-Kayano 14
gel-kayano 14,Asics,gelkayano14,Gel-Kayano 14
# --- Birkenstock ---
보스턴,Birkenstock,boston,Boston
버켄스탁 보스톤,Birkenstock,boston,Boston
boston,Birkenstock,boston,Boston
# --- Converse ---
척70,Converse,chuck70,Chuck 70
척 70,Converse,chuck70,Chuck 70
chuck 70,Converse,chuck70,Chuck 70
척테일러,Converse,chucktaylor,Chuck Taylor
척 테일러,Converse,chucktaylor,Chuck Taylor
chuck taylor,Converse,chucktaylor,Chuck Taylor
컨버스 올스타,Converse,chucktaylor,Chuck Taylor
# --- Crocs ---
크록스 클래식,Crocs,classicclog,Classic Clog
클래식 클로그,Crocs,classicclog,Classic Clog
classic clog,Crocs,classicclog,Classic Clog
# --- Dr. Martens (숫자 모델은 브랜드 표기가 붙은 형태만) ---
닥터마틴 1460,Dr. Martens,dm1460,1460
닥마 1460,Dr. Martens,dm1460,1460
마틴 1460,Dr. Martens,dm1460,1460
dr martens 1460,Dr. Martens,dm1460,1460
dr. martens 1460,Dr. Martens,dm1460,1460
닥터마틴 1461,Dr. Martens,dm1461,1461
닥마 1461,Dr. Martens,dm1461,1461
마틴 1461,Dr. Martens,dm1461,1461
dr martens 1461,Dr. Martens,dm1461,1461
dr. martens 1461,Dr. Martens,dm1461,1461
닥터마틴 2976,Dr. Martens,dm2976,2976 Chelsea
닥마 2976,Dr. Martens,dm2976,2976 Chelsea
닥터마틴 첼시,Dr. Martens,dm2976,2976 Chelsea
2976 chelsea,Dr. Martens,dm2976,2976 Chelsea
닥터마틴 아드리안,Dr. Martens,dmadrian,Adrian
아드리안 로퍼,Dr. Martens,dmadrian,Adrian
adrian,Dr. Martens,dmadrian,Adrian
# --- Hunter ---
헌터 부츠,Hunter,hunteroriginal,Original Rain Boot
헌터 레인부츠,Hunter,hunteroriginal,Original Rain Boot
헌터 오리지널,Hunter,hunteroriginal,Original Rain Boot
hunter original,Hunter,hunteroriginal,Original Rain Boot
헌터,Hunter,hunteroriginal,Original Rain Boot
hunter,Hunter,hunteroriginal,Original Rain Boot
# --- Rockfish ---
락피쉬 레인부츠,Rockfish,rockfishrain,Weatherwear Rain Boot
락피시 레인부츠,Rockfish,rockfishrain,Weatherwear Rain Boot
락피쉬 부츠,Rockfish,rockfishrain,Weatherwear Rain Boot
rockfish rain,Rockfish,rockfishrain,Weatherwear Rain Boot
락피쉬,Rockfish,rockfishrain,Weatherwear Rain Boot
락피시,Rockfish,rockfishrain,Weatherwear Rain Boot
rockfish,Rockfish,rockfishrain,Weatherwear Rain Boot
# --- Salomon ---
xt6,Salomon,xt6,XT-6
xt-6,Salomon,xt6,XT-6
xt 6,Salomon,xt6,XT-6
살로몬 xt,Salomon,xt6,XT-6
# --- Skechers ---
고워크,Skechers,gowalk,Go Walk
go walk,Skechers,gowalk,Go Walk
# --- UGG ---
태즈먼,UGG,tasman,Tasman
타스만,UGG,tasman,Tasman
tasman,UGG,tasman,Tasman
# --- Vans ---
어센틱,Vans,authentic,Authentic
authentic,Vans,authentic,Authentic
올드스쿨,Vans,oldskool,Old Skool
old skool,Vans,oldskool,Old Skool
oldskool,Vans,oldskool,Old Skool
슬립온,Vans,slipon,Slip-On
slip-on,Vans,slipon,Slip-On
slip on,Vans,slipon,Slip-On
# --- #97 3차 확대 (크롤링 원본 재분석, 새 크롤링 없음) ---
sb 덩크 로우,Nike,dunksb,SB Dunk
sb 덩크 하이,Nike,dunksb,SB Dunk
덩크 로우 sb,Nike,dunksb,SB Dunk
sb 덩크,Nike,dunksb,SB Dunk
덩크 sb,Nike,dunksb,SB Dunk
sb dunk,Nike,dunksb,SB Dunk
dunk sb,Nike,dunksb,SB Dunk
조던11,Nike,jordan11,Jordan 11
에어조던11,Nike,jordan11,Jordan 11
air jordan 11,Nike,jordan11,Jordan 11
jordan 11,Nike,jordan11,Jordan 11
aj11,Nike,jordan11,Jordan 11
# 에어맥스1은 한글 숫자 표기("에어맥스1")를 두지 않는다 - 정규화하면 "에어맥스 15만원"에 붙는다. 영문·"원" 표기만.
air max 1,Nike,airmax1,Air Max 1
airmax1,Nike,airmax1,Air Max 1
am1,Nike,airmax1,Air Max 1
에어맥스 원,Nike,airmax1,Air Max 1
캠퍼스,Adidas,campus,Campus
campus,Adidas,campus,Campus
포럼,Adidas,forum,Forum
forum,Adidas,forum,Forum
sl72,Adidas,sl72,SL 72
sl 72,Adidas,sl72,SL 72
sl-72,Adidas,sl72,SL 72
오즈위고,Adidas,ozweego,Ozweego
ozweego,Adidas,ozweego,Ozweego
원스타,Converse,onestar,One Star
one star,Converse,onestar,One Star
런스타,Converse,runstar,Run Star
run star,Converse,runstar,Run Star
sk8-hi,Vans,sk8hi,Sk8-Hi
sk8 hi,Vans,sk8hi,Sk8-Hi
스케이트 하이,Vans,sk8hi,Sk8-Hi
노바블라스트,Asics,novablast,Novablast
novablast,Asics,novablast,Novablast
xt4,Salomon,xt4,XT-4
xt-4,Salomon,xt4,XT-4
xt 4,Salomon,xt4,XT-4
본디,Hoka,bondi,Bondi
bondi,Hoka,bondi,Bondi
스피드캣,Puma,speedcat,Speedcat
speedcat,Puma,speedcat,Speedcat
팔레르모,Puma,palermo,Palermo
palermo,Puma,palermo,Palermo
푸마 스웨이드,Puma,pumasuede,Suede
puma suede,Puma,pumasuede,Suede
멕시코66,Onitsuka Tiger,mexico66,Mexico 66
멕시코 66,Onitsuka Tiger,mexico66,Mexico 66
mexico 66,Onitsuka Tiger,mexico66,Mexico 66
울트라 미니,UGG,uggultramini,Ultra Mini
울트라미니,UGG,uggultramini,Ultra Mini
ultra mini,UGG,uggultramini,Ultra Mini
뉴발란스 480,New Balance,nb480,480
뉴발 480,New Balance,nb480,480
nb 480,New Balance,nb480,480
new balance 480,New Balance,nb480,480
뉴발란스 860,New Balance,nb860,860
뉴발 860,New Balance,nb860,860
nb 860,New Balance,nb860,860
new balance 860,New Balance,nb860,860
